STUDENT_ID,COURSE,COURSE_UNIT,SEMESTER,TEST,COURSE_WORK,EXAM,GRADE_POINT,GENDER
2576,DGDD,3D MODELING WITH BLENDER 3D,4,20,16,45,A,M
2576,DGDD,TYPOGRAPHY,4,18,20,47,A,M
2581,DGDD,TYPOGRAPHY,4,20,14,1,F,F
2581,DGDD,ILLUSTRATOR,4,10,8,26,F,F
2581,DGDD,3D MODELING WITH BLENDER 3D,4,10,20,45,B+,F
2612,DGDD,STUDIO MANAGEMENT,4,13,18,1,F,M
2612,DGDD,TYPOGRAPHY,4,19,17,1,F,M
2612,DGDD,ILLUSTRATOR,4,18,12,30,C+,M
2612,DGDD,3D MODELING WITH BLENDER 3D,4,14,20,48,A,M
2573,DVTVP,PROPOSAL WRITING,4,17,19,58,A,M
2573,DVTVP,PROJECT PRESENTATION,4,17,18,52,A,M
2573,DVTVP,AFTER EFFECTS II,4,20,17,45,A,M
2573,DVTVP,3D MODELING WITH BLENDER 3D,4,20,17,50,A,M
2583,CEE,DIGITAL ELECTRONICS,4,16,17,48,A,M
2583,CEE,ENGINEERING DRAWING,4,18,15,51,A,M
2583,CEE,ANALOGE DIGITAL ELECTRONICS PRACTICE,4,20,19,52,A,M
2583,CEE,REAL LIFE PROJECT 2,4,20,20,53,A,M
2583,CEE,ANALOGUE ELECTRONICS 2,4,15,10,50,B+,M
2583,CEE,DIGITAL ELECTRONICS 2,4,10,10,50,B,M
2782,DGDD,DRAWING II,2,15,9,39,C+,M
2782,DGDD,INDESIGN,2,20,17,41,B+,M
2782,DGDD,BUSINESS COMMUNICATION SKILL,1,20,17,54,A,M
2576,DGDD,ILLUSTRATOR,4,19,9,46,B,M
2576,DGDD,STUDIO MANAGEMENT,4,12,20,30,C+,M
2581,DGDD,STUDIO MANAGEMENT,4,8,18,30,C,F
2592,CGDD,FIREWORKS,4,12,10,47,B-,F
2592,CGDD,ILLUSTRATOR,4,10,13,28,C-,F
2592,CGDD,MAJOR WORK,4,11,20,41,B,F
2712,CGDD,FIREWORKS,3,10,16,38,C+,M
2712,CGDD,PHOTOSHOP,3,13,10,29,C-,M
2712,CGDD,3D MODELING WITH WINGS 3D,3,17,20,34,B,M
